SSN 		Name 		Hours 		Rate 		Gross 		Deductions 	NetPay
____ 		____________ 	_____ 		____ 		_____ 		__________ 	______
9923		T. Speich	45		10.70		508.25		50.83		457.42
8888		T. Swift	40		20.50		820.00		82.00		738.00
8999		C. Burrell	48		17.50		910.00		91.00		819.00
5555		R. Lily		46		18.00		882.00		88.20		793.80
4566		S. Harvey	50		21.00		1155.00		115.50		1039.50
8898		N. Kidman	25		12.00		300.00		30.00		270.00
2264		S. Hensley	38		15.00		570.00		57.00		513.00
8977		B. Spears	28		14.50		406.00		40.60		365.40
8659		B. Pitt		29		13.50		391.50		39.15		352.35
4565		J. Foster	45		13.50		641.25		64.12		577.12
4684		J. Jones	25		12.54		313.50		31.35		282.15
8559		L. Timothy	37		12.50		462.50		46.25		416.25
6544		T. Hank		50		13.45		739.75		73.97		665.78
8888		J. McAdams	46		21.38		1047.62		104.76		942.86
6789		J. Weaver	57		17.80		1165.90		116.59		1049.31
5432		J. Thomas	56		12.50		800.00		80.00		720.00
5145		P. Gibson	46		17.46		855.54		85.55		769.99
2418		H. Smith	32		14.22		455.04		45.50		409.54
1243		S. Jones	28		13.75		385.00		38.50		346.50
4613		S. Stone	12		20.00		240.00		24.00		216.00


	Number of records: 20

